Date의 연도,원달러환율 (Seoul),코스피대비강남구주택매매가격지수,코스피대비경북집값,코스피대비서울집값,코스피대비송파구주택매매가격,코스피대비양천구주택매매가격,코스피대비은평구주택매매가격,코스피대비인천집값,코스피대비집값
2009,1182.5,,,,,,8.70850847,,
2009,1164.5,,,,,,8.327427280,,
2009,1178.1,,,,,,8.022895150,,
2008,1469,,,,,,19.35198665,,
2008,1259.5,,,,,,18.3784823,,
2008,1291,,,,,,16.3149859,,
2008,1207,,,,,,10.49392912,,
2008,1089,,,,,,8.330823850,,
2008,1012.2,,,,,,7.5688992,,
2008,990.4,,,,,,5.63021105,,
2008,939,,,,,,4.717803310,,
2008,943.9,,,,,,3.701269830,,
2008,1046,,,,,,3.08602459,,
2008,1002.6,,,,,,2.648363660,,
2008,1030.1,,,,,,0.980212250,,
2007,941,,,,,,3.97408975,,
2007,940.9,,,,,,2.72909774,,
2007,941.8,,,,,,2.65136003,,
2007,930.8,,,,,,0.696506240,,
2007,927.7,,,,,,-1.62896862,,
2007,923.8,,,,,,-4.94149844,,
2007,938.3,,,,,,-6.38547046,,
2007,915.1,,,,,,-7.90718019,,
2007,936.1,,,,,,-8.50055427,,
2007,919.3,,,,,,-8.68051588,,
2007,921.1,,,,,,-8.99622132,,
2007,900.7,,,,,,-10.89116715,,
2006,929.5,,,,,,-3.432627890,,
2006,929.8,,,,,,-3.786845590,,
2016,1199.1,,,,,1.495020175,,,
2016,1236.7,,,,,1.363599195,,,
2016,1191.7,,,,,-0.093277340,,,
2016,1143.5,,,,,-0.309813250,,,
2016,1151.8,,,,,-0.321500015,,,
2016,1169.1,,,,,-0.425578375,,,
2016,1139.3,,,,,-0.743546585,,,
2016,1120.2,,,,,-0.882685240,,,
2016,1207.7,,,,,-1.305834335,,,
2016,1144.5,,,,,-1.622479515,,,
2016,1114.8,,,,,-1.636371330,,,
2016,1101.3,,,,,-1.76646928,,,
2015,1185.3,,,,,-1.87570879,,,
2015,1182.5,,,,,-2.161703775,,,
2015,1172.5,,,,,-2.580222265,,,
2015,1158.1,,,,,-3.35750239,,,
2015,1140.1,,,,,-3.661578785,,,
2015,1170,,,,,-4.487590515,,,
2015,1115.5,,,,,-4.612396345,,,
2015,1072.4,,,,,-5.573357135,,,
2015,1108.2,,,,,-5.74160245,,,
2014,1067.5,,,,,-5.814915365,,,
2014,1099.3,,,,,-5.907527465,,,
2014,1068.5,,,,,-5.9267114,,,
2014,1064.7,,,,,-6.139057715,,,
2014,1107.9,,,,,-6.298262325,,,
2014,1033.2,,,,,-6.993735095,,,
2014,1020.1,,,,,-7.058563565,,,
2014,1011.8,,,,,-7.079511540,,,
2014,1027.9,,,,,-7.672008475,,,
2014,1055.2,,,,,-8.129776855,,,
2014,1014,,,,,-8.531536965,,,
2013,1123.5,,,,,-5.240464385,,,
2013,1142,,,,,-5.519182705,,,
2013,1110,,,,,-5.79591648,,,
2013,1101,,,,,-6.72027344,,,
2013,1129.7,,,,,-7.504609725,,,
2013,1083,,,,,-7.623682425,,,
2013,1074.7,,,,,-7.723791695,,,
2013,1089,,,,,-7.76149805,,,
2013,1055.4,,,,,-7.810670665,,,
2013,1111,,,,,-7.85278712,,,
2013,1058.2,,,,,-8.28674096,,,
2013,1060.7,,,,,-8.72245884,,,
2012,1130,,,,,-1.607750875,,,
2012,1145,,,,,-2.0895543,,,
2012,1180,,,,,-2.921960675,,,
2012,1123,,,,,-3.024716005,,,
2012,1082.9,,,,,-3.32658735,,,
2012,1134,,,,,-3.639924955,,,
2012,1090.7,,,,,-4.153260595,,,
2012,1111.4,,,,,-4.574425145,,,
2012,1070.6,,,,,-4.85115892,,,
2012,1130,,,,,-5.33803396,,,
2012,1118,,,,,-5.499223115,,,
2012,1133,,,,,-5.944202205,,,
